IDpol,Region,Area,VehBrand,VehGas,DrivAge,age_band,VehPower,VehAge,BonusMalus,Density,Exposure,ClaimNb,ClaimAmount_capped,freq_glm_pred,freq_gbm_pred,pp_glm,pp_gbm
53558.0,Centre,C,B10,Diesel,43,41-50,9,10,72,369,0.06,0,0.0,0.11394356663583752,0.12591073848568435,197.35485295688014,196.70868504938466
4152838.0,Centre,A,B2,Diesel,29,26-30,5,12,63,44,1.0,0,0.0,0.06766184360214872,0.09238279587363918,108.49666038177352,141.47133903420865
3041728.0,Corse,A,B12,Diesel,38,31-40,7,1,50,48,0.04,0,0.0,0.09753775724216618,0.04511101095133683,238.5791119679587,82.63381991560871
6084405.0,Provence-Alpes-Cotes-D'Azur,C,B12,Diesel,68,61-70,5,3,50,107,0.28,0,0.0,0.11135560804038913,0.05330027038782828,216.69770836659487,97.28601906158839
4035292.0,Bourgogne,C,B12,Regular,32,31-40,6,2,72,104,0.38,0,0.0,0.15607663388664128,0.14387657462764852,298.77619053727807,280.4032488444629
2123724.0,Bretagne,C,B2,Diesel,29,26-30,6,2,75,229,0.04,0,0.0,0.14268838852358404,0.14441439617630647,253.42427810660885,241.50577648712442
3173853.0,Centre,B,B1,Diesel,43,41-50,6,6,50,71,0.46,0,0.0,0.07405706872100168,0.09037819812107521,120.18381811447532,153.96211898626572
2179071.0,Provence-Alpes-Cotes-D'Azur,C,B12,Diesel,49,41-50,6,5,50,118,0.08,0,0.0,0.09179947565760806,0.08456864426389955,175.230200857626,152.4235698488628
4045010.0,Ile-de-France,B,B1,Regular,46,41-50,8,1,50,76,0.07,0,0.0,0.09360153376560068,0.07774120831541428,164.22075164956897,131.34279566764982
2181522.0,Centre,D,B1,Regular,40,31-40,7,16,50,1943,1.0,0,0.0,0.059844575792727873,0.06473094336930243,87.81135436117052,104.19925637584068
167231.0,Pays-de-la-Loire,D,B1,Diesel,41,41-50,6,8,50,763,1.0,0,0.0,0.0709411333023968,0.07483798673818143,101.75482082931275,105.11302796656973
